"Event time (s)","Interval (s)"
1.386125000E0,7.872916667E-1
2.173416667E0,6.694166667E-1
2.842833333E0,5.849166667E-1
3.427750000E0,5.199791667E-1
3.947729167E0,0.000000000E0
