"Event time (s)","Interval (s)"
1.194104167E0,7.673541667E-1
1.961458333E0,6.555208333E-1
2.616979167E0,5.720833333E-1
3.189062500E0,5.082291667E-1
3.697291667E0,4.578125000E-1
4.155104167E0,4.184791667E-1
4.573583333E0,3.839791667E-1
4.957562500E0,3.415208333E-1
5.299083333E0,3.165208333E-1
5.615604167E0,2.928541667E-1
5.908458333E0,2.712291667E-1
6.179687500E0,0.000000000E0
