"Event time (s)","Interval (s)"
1.191291667E0,6.347708333E-1
1.826062500E0,5.579375000E-1
2.384000000E0,4.958125000E-1
2.879812500E0,4.493333333E-1
3.329145833E0,4.107291667E-1
3.739875000E0,3.742708333E-1
4.114145833E0,3.466250000E-1
4.460770833E0,3.225416667E-1
4.783312500E0,2.999166667E-1
5.083229167E0,2.783333333E-1
5.361562500E0,2.596666667E-1
5.621229167E0,2.436875000E-1
5.864916667E0,2.287708333E-1
6.093687500E0,2.134583333E-1
6.307145833E0,2.037916667E-1
6.510937500E0,1.863125000E-1
6.697250000E0,1.745416667E-1
6.871791667E0,1.653125000E-1
7.037104167E0,1.550416667E-1
7.192145833E0,1.454166667E-1
7.337562500E0,1.366875000E-1
7.474250000E0,1.293750000E-1
7.603625000E0,1.214166667E-1
7.725041667E0,1.145208333E-1
7.839562500E0,1.071666667E-1
7.946729167E0,1.010416667E-1
8.047770833E0,1.838541667E-1
8.231625000E0,1.618750000E-1
8.393500000E0,1.431666667E-1
8.536666667E0,2.252500000E-1
8.761916667E0,0.000000000E0
