"Event time (s)","Interval (s)"
4.155833333E-1,6.012708333E-1
1.016854167E0,5.320000000E-1
1.548854167E0,4.752291667E-1
2.024083333E0,4.339791667E-1
2.458062500E0,3.948958333E-1
2.852958333E0,3.657916667E-1
3.218750000E0,3.351875000E-1
3.553937500E0,3.125000000E-1
3.866437500E0,2.891458333E-1
4.155583333E0,2.663750000E-1
4.421958333E0,2.518958333E-1
4.673854167E0,2.345416667E-1
4.908395833E0,2.189583333E-1
5.127354167E0,2.065625000E-1
5.333916667E0,1.954583333E-1
5.529375000E0,1.831666667E-1
5.712541667E0,1.705833333E-1
5.883125000E0,1.639375000E-1
6.047062500E0,1.501458333E-1
6.197208333E0,1.451250000E-1
6.342333333E0,1.350208333E-1
6.477354167E0,1.263333333E-1
6.603687500E0,1.197916667E-1
6.723479167E0,3.177500000E-1
7.041229167E0,1.117854167E0
8.159083333E0,0.000000000E0
